pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
ILEUSYN-PWY	24740.9687	26283.4342	25604.5208	25610.6048	19657.8775	17984.2579	21441.8932	17169.6371	18453.6053	19710.5786	20330.881	20125.9688	20391.6041	19425.643	21780.7776	23707.4695	23366.2508	23797.3788	23974.0005	25415.7616	22648.1968
KETOGLUCONMET-PWY	0.0	0.0	0.0	1.3398	0.0	0.0	0.0	29.8909	35.2523	46.5289	43.2333	93.2459	82.1375	94.608	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LEU-DEG2-PWY	11768.7296	11893.3221	11641.7406	11629.8302	10275.3268	9976.0522	10765.676	10015.6648	10481.6933	10954.6805	11621.7298	10811.2817	10754.001	10555.5979	12135.0143	12159.7031	12160.8099	12554.4195	12048.8269	12612.7103	11220.3575
LIPASYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4149	0.0	0.0	0.0	0.0	0.818	3.2655	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MET-SAM-PWY	9801.1998	9621.2307	9515.5625	9455.8433	7968.5261	7281.9527	8326.4562	5045.1953	6602.1509	7244.4509	7674.3589	7922.3499	7982.1482	7495.4353	8372.2447	9811.4664	9592.539	9761.1255	9631.5971	10351.0657	8803.8143
METHYLGALLATE-DEGRADATION-PWY	0.8373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6621	1.6622	0.8374	1.662	1.2499	0.0	0.4125
NAD-BIOSYNTHESIS-II	0.0	0.0	0.0	0.0	84.3212	29.2977	63.1651	0.0	0.0	0.0	0.0	142.4331	17.3271	301.8468	0.0	0.0	0.0	0.0	29.304	4.6592	61.1664
NADSYN-PWY	2.6779	3.9956	6.6692	0.0	0.0	5.3534	0.0	117.131	23.8525	7.9847	10.6499	35.7169	9.2966	18.618	14.6355	0.0	3.9967	1.3196	0.0	0.0	5.315
NAGLIPASYN-PWY	10278.484	10367.28	10271.894	10329.56	8691.5	8218.448	9333.42	9740.6497	8724.5206	9109.7687	9456.2362	8891.7138	8640.6739	8854.6892	10425.9021	9452.1375	9544.1172	9878.3141	9554.2614	9831.1103	9009.3281
NONMEVIPP-PWY	10617.0825	10806.6703	10663.134	10732.0208	8994.8448	8497.281	9674.69	9584.4785	9070.0744	9496.0284	9810.6466	9186.495	8895.7055	9221.4429	10364.8739	10949.289	10963.6929	10963.799	10343.6177	10340.4898	10140.74
